timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1531862057707,56,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-5,text,true,,759,0,1,8,56,0,0
1531862057717,57,QASandboxPreview,200,OK,Sandbox Transform Test 1-1,text,true,,1784,0,1,8,57,0,0
1531862057764,56,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-5,text,true,,769,0,1,8,56,0,0
1531862057821,55,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-5,text,true,,761,0,1,8,53,0,0
1531862057876,58,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-5,text,true,,765,0,1,8,58,0,0
1531862057935,63,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-5,text,true,,763,0,1,8,62,0,0
1531862054531,3494,Preview,200,OK,QA Previewing Test 3-1,text,true,,8335,0,1,8,3491,0,0
1531862057998,73,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-5,text,true,,761,0,1,8,72,0,0
1531862057775,356,QASandboxTransformRequest,200,OK,Sandbox Transform Test 1-1,text,true,,1198,0,1,8,355,0,0
1531862058071,61,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-5,text,true,,765,0,1,8,61,0,0
1531862058133,58,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-5,text,true,,759,0,1,8,58,0,0
1531862058132,79,QASandboxPreview,200,OK,Sandbox Transform Test 1-1,text,true,,21399,0,1,8,72,0,0
1531862058192,60,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-5,text,true,,757,0,1,8,60,0,0
1531862058212,375,QASandboxTransformRequest,200,OK,Sandbox Transform Test 1-1,text,true,,1192,0,1,9,375,0,0
1531862058540,71,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-6,text,true,,766,0,1,9,71,0,0
1531862058588,81,QASandboxPreview,200,OK,Sandbox Transform Test 1-1,text,true,,21368,0,1,9,75,0,0
1531862058612,59,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-6,text,true,,763,0,1,9,58,0,0
1531862058671,162,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-6,text,true,,761,0,1,9,162,0,0
1531862058833,182,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-6,text,true,,765,0,1,9,182,0,0
1531862059016,88,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-6,text,true,,763,0,1,9,87,0,0
1531862059104,68,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-6,text,true,,771,0,1,9,68,0,0
1531862059173,61,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-6,text,true,,763,0,1,9,61,0,0
1531862059234,53,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-6,text,true,,755,0,1,9,53,0,0
1531862059287,55,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-6,text,true,,767,0,1,9,53,0,0
1531862059342,66,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-6,text,true,,761,0,1,9,66,0,0
1531862058670,850,QASandboxTransformRequest,200,OK,Sandbox Transform Test 1-1,text,true,,1197,0,1,8,850,0,0
1531862059520,76,QASandboxPreview,200,OK,Sandbox Transform Test 1-1,text,true,,1780,0,1,10,76,0,0
1531862059539,74,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-7,text,true,,774,0,1,10,74,0,0
1531862059614,52,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-7,text,true,,759,0,1,10,52,0,0
1531862059667,58,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-7,text,true,,777,0,1,10,57,0,0
1531862059725,61,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-7,text,true,,757,0,1,10,61,0,0
1531862058029,1784,Preview,200,OK,QA Previewing Test 3-1,text,true,,3295,0,1,10,1784,0,0
1531862059787,80,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-7,text,true,,759,0,1,10,80,0,0
1531862059868,53,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-7,text,true,,753,0,1,10,53,0,0
1531862059922,80,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-7,text,true,,761,0,1,10,80,0,0
1531862060003,64,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-7,text,true,,763,0,1,10,64,0,0
1531862059813,321,Preview,200,OK,QA Previewing Test 3-1,text,true,,10971,0,1,10,317,0,0
1531862060067,225,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-7,text,true,,759,0,1,10,224,0,0
1531862060292,104,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-7,text,true,,765,0,1,10,104,0,0
1531862060548,252,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-8,text,true,,766,0,1,11,251,0,0
1531862059596,1210,QASandboxTransformRequest,200,OK,Sandbox Transform Test 1-1,text,true,,1203,0,1,11,1210,0,0
1531862060801,78,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-8,text,true,,763,0,1,11,77,0,0
1531862060806,100,QASandboxPreview,200,OK,Sandbox Transform Test 1-1,text,true,,12478,0,1,11,95,0,0
1531862060880,67,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-8,text,true,,763,0,1,11,66,0,0
1531862060135,868,Preview,200,OK,QA Previewing Test 3-1,text,true,,114261,0,1,11,854,0,0
1531862060948,128,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-8,text,true,,763,0,1,11,128,0,0
1531862061076,52,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-8,text,true,,767,0,1,11,52,0,0
1531862061129,57,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-8,text,true,,777,0,1,11,57,0,0
1531862061187,50,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-8,text,true,,753,0,1,11,49,0,0
1531862061238,58,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-8,text,true,,759,0,1,11,58,0,0
1531862061008,315,Preview,200,OK,QA Previewing Test 3-1,text,true,,7242,0,1,11,314,0,0
1531862061297,45,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-8,text,true,,761,0,1,11,45,0,0
1531862061342,58,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-8,text,true,,767,0,1,11,58,0,0
1531862061543,375,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-9,text,true,,772,0,1,12,373,0,0
1531862060907,1088,QASandboxTransformRequest,200,OK,Sandbox Transform Test 1-1,text,true,,1206,0,1,12,1088,0,0
1531862061996,92,QASandboxPreview,200,OK,Sandbox Transform Test 1-1,text,true,,10364,0,1,12,83,0,0
1531862061918,214,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-9,text,true,,761,0,1,12,105,0,0
1531862062133,78,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-9,text,true,,767,0,1,12,78,0,0
1531862062211,44,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-9,text,true,,763,0,1,12,43,0,0
1531862062256,48,QAPublishFile,200,OK,QAPublishFile Endpoint Test 4-9,text,true,,767,0,1,12,47,0,0
